reading_device_id,reading_timestamp,bumpiness,image,street_name,lat,long
squid-1,2015-05-16_18.47.58.20,113.2153258,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.04.97.jpg,700-798 Jefferson St,40.7461250258,-74.0359996499
squid-1,2015-05-16_18.48.02.20,29.22772656,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.08.98.jpg,700-798 Jefferson St,40.7460892995,-74.0360104733
squid-1,2015-05-16_18.48.03.00,35.2671235,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.09.77.jpg,700-798 Jefferson St,40.7460688137,-74.0360166795
squid-1,2015-05-16_18.48.03.80,38.82911279,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.10.57.jpg,600-698 Jefferson St,40.7460454608,-74.0360189
squid-1,2015-05-16_18.48.05.20,82.78224447,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.11.98.jpg,600-698 Jefferson St,40.7459793823,-74.0360468901
squid-1,2015-05-16_18.48.06.00,87.9127977,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.12.78.jpg,600-698 Jefferson St,40.7459388193,-74.0360610682
squid-1,2015-05-16_18.48.06.80,117.6201513,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.13.58.jpg,600-698 Jefferson St,40.745893956,-74.0360767495
squid-1,2015-05-16_18.48.07.60,101.730723,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.14.38.jpg,600-698 Jefferson St,40.7458406824,-74.0360953704
squid-1,2015-05-16_18.48.08.40,44.07198657,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.15.17.jpg,600-698 Jefferson St,40.7457859119,-74.0361145144
squid-1,2015-05-16_18.48.09.20,62.27752404,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.15.98.jpg,600-698 Jefferson St,40.7457274065,-74.036134964
squid-1,2015-05-16_18.48.10.00,124.861283,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.16.78.jpg,600-698 Jefferson St,40.7456672167,-74.0361560022
squid-1,2015-05-16_18.48.10.80,56.20765072,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.17.57.jpg,600-698 Jefferson St,40.7456060924,-74.036177367
squid-1,2015-05-16_18.48.11.60,33.12793383,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.18.38.jpg,600-698 Jefferson St,40.7455447806,-74.0361987974
squid-1,2015-05-16_18.48.12.40,32.94131145,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.19.18.jpg,600-698 Jefferson St,40.7454817844,-74.0362208164
squid-1,2015-05-16_18.48.13.20,63.02713701,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.19.98.jpg,600-698 Jefferson St,40.7454200976,-74.0362423777
squid-1,2015-05-16_18.48.14.00,114.0407822,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.20.78.jpg,600-698 Jefferson St,40.7453572889,-74.0362643311
squid-1,2015-05-16_18.48.15.20,39.58825583,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.21.98.jpg,600-698 Jefferson St,40.7452656932,-74.0362963463
squid-1,2015-05-16_18.48.16.00,32.56792901,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.22.77.jpg,600-698 Jefferson St,40.7452064378,-74.0363170576
squid-1,2015-05-16_18.48.16.80,42.54515249,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.23.58.jpg,600-698 Jefferson St,40.7451488638,-74.0363371812
squid-1,2015-05-16_18.48.17.60,78.88085953,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.24.38.jpg,600-698 Jefferson St,40.7450942807,-74.0363562594
squid-1,2015-05-16_18.48.18.40,33.55741349,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.25.17.jpg,600-698 Jefferson St,40.7450382037,-74.0363758597
squid-1,2015-05-16_18.48.19.20,45.76581694,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.25.98.jpg,600-698 Jefferson St,40.7449871768,-74.0363936948
squid-1,2015-05-16_18.48.20.00,41.14583819,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.26.78.jpg,600-698 Jefferson St,40.7449357721,-74.036411662
squid-1,2015-05-16_18.48.20.80,27.42316539,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.27.58.jpg,600-698 Jefferson St,40.7448853019,-74.0364293025
squid-1,2015-05-16_18.48.21.60,39.06123398,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.28.38.jpg,600-698 Jefferson St,40.7447719972,-74.0363934527
squid-1,2015-05-16_18.48.22.40,31.12571284,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.29.18.jpg,600-698 Jefferson St,40.7447719212,-74.0363930243
squid-1,2015-05-16_18.48.23.20,79.40799708,https://s3-us-west-2.amazonaws.com/argosquid/squid-images-HOBOKEN/2015-05-15_23.54.29.98.jpg,500-598 Jefferson St,40.7447717413,-74.03639201
